Vflkenn;Versuch;Parzelle;Flaeche
DEN;5;1;2500
DEN;5;2;2500
DEN;5;3;2500
SAC;67;1;2500
SAC;67;2;2500
SAC;67;3;2500
SAC;68;1;2500
SAC;68;2;2500
SAC;68;3;2500
ZUS;603;1;1020
ZUS;603;2;1000
ZUS;603;3;1020
ZUS;603;4;1020
ZUS;603;5;1040
ZUS;603;6;1020
DEN;606;1;1200
DEN;606;2;910
DEN;606;3;900
DEN;606;4;900
DEN;606;5;1200
DEN;606;6;1200
SAC;607;1;1004
SAC;607;2;994
SAC;607;3;1013
SAC;607;4;1016
SAC;607;5;996
SAC;607;6;982
SAC;607;7;984
SAC;607;8;998
SAC;607;9;1009
SAC;607;10;1004
SAC;607;11;994
SAC;607;12;1008
SAC;607;13;975
FFB;612;1;910
FFB;612;2;900
FFB;612;3;900
FFB;612;4;910
FFB;612;5;910
FFB;612;6;880
FFB;612;7;880
FFB;612;8;880
FFB;612;9;912
FFB;612;10;880
FFB;612;11;880
FFB;612;12;900
FFB;612;13;910
FFB;612;14;900
FFB;612;15;900
FFB;612;16;912
FFB;612;17;912
FFB;612;18;912
FFB;612;19;912
FFB;612;20;912
FFB;612;21;912
WBU;613;1;1012
WBU;613;2;1012
WBU;613;3;900
WBU;613;4;900
WBU;613;5;900
WBU;613;6;1012
WBU;613;7;900
VOH;622;1;1050
VOH;622;2;1050
VOH;622;3;1050
VOH;622;4;1050
VOH;622;5;1050
VOH;622;6;1050
VOH;622;7;1050
VOH;622;8;1050
VOH;622;9;1050
VOH;622;10;1050
VOH;622;11;1050
TRS;639;1;1000
TRS;639;2;1000
TRS;639;3;1000
TRS;639;4;989
SAC;602;1;865
SAC;602;2;865
SAC;602;3;865
SAC;602;4;865
