"INVENTORY_ID","PLOT_ID_time","TREE_ID_time","site","year","PLOT_ID","TREE_ID","plot","i_year","removed","thinned","dead","species","x","x_min","x_max","y","y_min","y_max","z","expan_plot","expan_subplot","age","dbh","i_dbh","i_annual_dbh","g","i_g","i_annual_g","bal_plot","height","hcb","slenderness","search_radius","rel_dbh_Do","rel_dbh_Dg","rel_h_Ho","rel_h_Hm","M","tmean","prec","SPEI3_aug","SPEI6_aug","SPEI12_aug","AGE","N","N_ha","G","G_local","G_ha","SD_0_5","SD_5_10","SD_10_15","SD_15_20","SD_20_25","SD_25_30","SD_30_35","SD_35_40","SD_40_45","SD_45_50","Hegyi","sp_1","sp_2","sp_3","G_ha_sp_1","G_ha_sp_2","G_ha_sp_3","G_sp_1","G_sp_2","G_sp_3","N_ha_sp_1","N_ha_sp_2","N_ha_sp_3","N_sp_1","N_sp_2","N_sp_3","weight_borders","DBHm","DBHm_sp_1","DBHm_sp_2","DBHm_sp_3","Dg","Dg_sp_1","Dg_sp_2","Dg_sp_3","Hm","Hm_sp_1","Hm_sp_2","Hm_sp_3","Ho","Do","mean_slenderness","dom_slenderness","SDI","S","S_staggered","SI_100","bal_subplot","bal_subplot_ha"
"ZUS","603_2_1995","603_2_434_1995",603,1995,"603_2","603_2_434",2,5,"no","no","no",10,10.5,0,25,33.0999984741211,0,40,5.19999980926514,10,137.387575005491,32,9.8,1.1,0.22,75.4296396126909,15.9828526251381,3.19657052502762,42.3044196378647,14.5860398177186,NA,148.837140997129,4.81339313984714,0.457943925233645,0.922362826903256,0.72654339430864,1.0196163393145,50.5300219947005,8.45833333333333,932.699989318847,0.860103248026223,1.26290120877037,1.12106128508636,32,39,6050.85648087056,0.345782537010014,0.338239573048745,42.373254539756,0,24,11,4,0,0,0,0,0,0,15.1115959378017,10,NA,NA,42.373254539756,NA,NA,0.345782537010014,NA,NA,6050.85648087056,NA,NA,39,NA,NA,1,9.96923076923077,9.96923076923077,NA,NA,10.62488612307,10.62488612307,NA,NA,14.305419847945,14.305419847945,NA,NA,20.0759375585519,21.4,143.495723783399,93.8127923296818,1456.96220619789,6.40347528581729,11.9182104322435,45.3789112337506,0.02078,2.10514896850061
"EUR","605_6_1976","605_6_130_1976",605,1976,"605_6","605_6_130",6,3,"yes","no","yes",10,4.38000011444092,0,20,9.39999961853027,0,20,NA,25,878.069421489036,24,6.4,0.7,0.233333333333333,32.1699087727595,6.65232244397639,2.2174408146588,4.42414785441782,5.76961318023841,NA,90.1502059412251,1.90397234947868,0.397515527950311,1,0.375861218800727,1,56.8580797539383,7.79166666666667,1011.60000228882,-0.831028048310235,-1.16929405170853,-1.59962661086625,24,1,878.069421489036,0.00321699087727595,0,2.8247413185452,0,1,0,0,0,0,0,0,0,0,0,10,NA,NA,2.8247413185452,NA,NA,0.00321699087727595,NA,NA,878.069421489036,NA,NA,1,NA,NA,1,6.4,6.4,NA,NA,6.4,6.4,NA,NA,5.76961318023841,5.76961318023841,NA,NA,15.3503817144203,16.1,90.1502059412251,95.3439858038528,90.9578435649864,21.9844899340899,40.9177463150904,46.7962219685026,0,0
"FFB","612_3_2001","612_3_610_2001",612,2001,"612_3","612_3_610",3,5,"no","no","no",10,9.5,0,30,20.5,0,30,NA,11.1111111111111,109.494942832865,32,17.5,3,0.6,240.528187540469,75.398223686155,15.079644737231,16.4515782490537,16.3385718834299,NA,93.3632679053137,5.39172872153187,0.729166666666667,1.18473678078815,0.869072972522867,1.07803230565566,54.029931723666,8.375,992.799995422363,-0.974025820906061,-0.256592179158739,0.0761963104421116,32,24,3163.34690613458,0.411276104457564,0.387223285703517,49.3958563408487,0,3,11,8,2,0,0,0,0,0,5.91358935942259,10,NA,NA,49.3958563408487,NA,NA,0.411276104457564,NA,NA,3163.34690613458,NA,NA,24,NA,NA,1,14.3875,14.3875,NA,NA,14.7712135588109,14.7712135588109,NA,NA,15.1559204651969,15.1559204651969,NA,NA,18.8,24,105.340889419266,78.3333333333333,1317.90214672531,9.45733428543238,17.6020824803525,43.098140186946,0.00432,0.405554272737285
"SAC","602_4_2003","602_4_252_2003",602,2003,"602_4","602_4_252",4,5,"no","no","no",10,16.1000003814697,0,30,0.699999988079071,0,30,NA,11.1111111111111,96.5436582109395,41,12.8,0.9,0.18,128.679635091038,17.4594011723253,3.49188023446505,45.5470633644864,17.4,10.2,135.9375,5.742,0.375366568914956,0.71602439283705,0.753246753246753,0.985720337120233,51.2335663908845,7.875,915.799999237061,-2.15325078309898,-2.83132784197339,-1.25023510953825,41,29.6927286502687,3060.68286450989,0.745253964039365,0.721373654742029,59.2084829347042,0,3.71159108128359,12.9905687844926,3.71159108128359,7.42318216256718,0,1.85579554064179,0,0,0,11.75933721524,10,NA,NA,59.2084829347042,NA,NA,0.745253964039365,NA,NA,3060.68286450989,NA,NA,29.6927286502687,NA,NA,1.85579554064179,16.6,16.6,NA,NA,17.8764859522223,17.8764859522223,NA,NA,17.6520655451158,17.6520655451158,NA,NA,23.1,34.1,106.337744247686,67.741935483871,1751.63517803398,7.82490104433592,14.5637818677042,41.7038983043447,0.0331816242666753,2.3561544003082
"SON","623_2_1999","623_2_59_1999",623,1999,"623_2","623_2_59",2,10,"yes","yes","no",10,10,0,20,2.02999997138977,0,20,NA,25,217.340232827303,27,10.1,3.2,0.32,80.1184666481737,42.7256600888212,4.27256600888212,37.2672410279793,11.5968772367116,NA,114.820566700115,3.82696948811483,0.426160337552743,0.822047605561808,0.778313908504134,0.95852003802197,85.1742252176873,7.45833333333333,1487.00001525879,-0.0569395377997947,1.34958509053847,2.10016784031886,27,16.2252266917085,3354.97335456565,0.192366509544703,0.180548870603261,36.3620801805693,0,2.95004121667428,10.32514425836,2.95004121667428,0,0,0,0,0,0,7.32055887945886,10,NA,NA,36.3620801805693,NA,NA,0.192366509544703,NA,NA,3354.97335456565,NA,NA,16.2252266917085,NA,NA,1.47502060833714,11.9545454545455,11.9545454545455,NA,NA,12.2863930649094,12.2863930649094,NA,NA,12.0987321878458,12.0987321878458,NA,NA,14.9,23.7,101.20612476525,62.8691983122363,1028.77194173317,11.5869516281574,21.5657469746885,41.6143239964863,0.0154729661814566,2.86590945086207
"VOH","622_11_2018","622_11_7_2018",622,2018,"622_11","622_11_7",11,5,"no","no","no",10,16.25,0,35,2.5,0,30,NA,9.52380952380952,82.7001979400861,44,23.7,2.5,0.5,441.150294398713,88.1609438413635,17.6321887682727,28.3349516605574,18.8,4.2,79.3248945147679,6.204,0.6,0.837192797478319,0.828193832599119,0.994708994708995,37.6108107695709,8.5,695.799999237061,-1.97494920586567,-2.16752168563737,-1.71054347246044,44,4.74712231882626,420.812859404075,0.298789979823989,0.228983499540759,21.2099237705694,0,0,0,1.58237410627542,1.58237410627542,0,0,1.58237410627542,0,0,0.751794617580643,10,NA,NA,21.2099237705694,NA,NA,0.298789979823989,NA,NA,420.812859404075,NA,NA,4.74712231882626,NA,NA,1.58237410627542,26.6666666666667,26.6666666666667,NA,NA,28.3088914183041,28.3088914183041,NA,NA,18.9,18.9,NA,NA,22.7,39.5,70.875,57.4683544303797,517.507289717185,21.4748253967203,39.9691537251141,38.8501959056561,0.00625037771978791,0.354549433973265
"FFB","612_19_1996","612_19_11_1996",612,1996,"612_19","612_19_11",19,4,"no","no","no",10,16.7999992370605,0,30,1.25,0,30,NA,11.1111111111111,242.897040063095,27,11.9,1.2,0.3,111.220233918713,21.2999981913388,5.32499954783471,35.7459662370482,10.9698329089032,NA,92.183469822716,3.62004485993806,0.508547008547009,0.859824195532208,0.751358418418027,0.945061854488541,48.9692308352544,7.33333333333333,848.800001144409,0.264812811894308,0.217543122298728,-0.685122459536052,27,14.7014786350835,3365.05030030803,0.22116963294658,0.203001834138303,44.8979623447078,0,3.26699525224078,8.16748813060195,3.26699525224078,0,0,0,0,0,0,6.48486270409007,10,NA,NA,44.8979623447078,NA,NA,0.22116963294658,NA,NA,3365.05030030803,NA,NA,14.7014786350835,NA,NA,1.63349762612039,13.4888888888889,13.4888888888889,NA,NA,13.8400385355918,13.8400385355918,NA,NA,11.6075290276529,11.6075290276529,NA,NA,14.6,23.4,86.0525216218089,62.3931623931624,1257.97454148453,11.8073208278297,21.9759002707114,41.0095581778264,0.014979173231524,2.7992195194968
"SAC","602_2_1994","602_2_273_1994",602,1994,"602_2","602_2_273",2,5,"no","no","no",10,17.5,0,30,28.7000007629395,0,30,NA,11.1111111111111,162.136879291581,31,13.2,1.6,0.32,136.847775990371,31.1645991236107,6.23291982472214,41.0548651225332,13.4267288620186,NA,101.71764289408,4.43082052446614,0.5,1.00380808634497,0.784755584370246,1.04623443227001,63.0134518884222,8.58333333333333,1170.99998092651,-1.08692916188186,-0.215798153034102,0.115282147447588,31,33.6277636727036,6391.14546438564,0.456703511307864,0.433694087957167,71.9858213031336,0,11.7697172854463,13.4511054690814,6.72555273454072,1.68138818363518,0,0,0,0,0,10.9541298951942,10,NA,NA,71.9858213031336,NA,NA,0.456703511307864,NA,NA,6391.14546438564,NA,NA,33.6277636727036,NA,NA,1.68138818363518,12.495,12.495,NA,NA,13.1499239541527,13.1499239541527,NA,NA,12.8333846104516,12.8333846104516,NA,NA,17.1094403524294,26.4,102.708160147672,64.8084861834447,2194.29392854007,7.31096735639604,13.607243493198,41.138583769594,0.0201094026762768,2.68782717070864
"SAC","602_2_1989","602_2_46_1989",602,1989,"602_2","602_2_46",2,6,"no","no","no",10,3.5,0,30,4.90000009536743,0,30,NA,11.1111111111111,228.910313728123,27,11.6,3.3,0.55,105.683176866761,51.5770973903104,8.59618289838507,33.7018540704049,11.3,NA,97.4137931034483,3.729,0.515555555555556,1.07401192240466,0.800510918994812,1.05084964144307,63.330841527921,7.83333333333333,1129.40000724793,0.558768701325286,-0.0549399179128835,-0.0112615079059788,27,22.5222968705823,5794.59373002812,0.206348033161266,0.194446893743169,50.00142984602,0,10.135033591762,11.2611484352911,1.12611484352911,0,0,0,0,0,0,8.70817768167727,10,NA,NA,50.00142984602,NA,NA,0.206348033161266,NA,NA,5794.59373002812,NA,NA,22.5222968705823,NA,NA,1.12611484352911,10.595,10.595,NA,NA,10.8006249819166,10.8006249819166,NA,NA,10.7532034597094,10.7532034597094,NA,NA,14.1159848440159,22.5,101.49318980377,62.7377104178485,1433.86995716632,9.30630583042286,17.3209868521634,40.0338366209201,0.00628372082689245,1.27427775192686
"ZUS","603_5_2017","603_5_231_2017",603,2017,"603_5","603_5_231",5,7,"no","no","no",10,14.6999998092651,0,35,14.3999996185303,0,30,3.09999990463257,9.52380952380952,31.2161540005383,54,38.1,3.6,0.514285714285714,1140.09182796937,205.271663985557,29.3245234265082,25.1115055583766,30.6,18.7,80.3149606299213,10.098,0.74559686888454,1.15111155238992,0.996742671009772,1.09342645595638,46.4191304745882,9.16666666666667,889.70000076294,-0.453272181447683,-0.399036863968129,-1.19423467820286,54,26,1011.81883949663,2.23706372597189,2.12305454317496,76.4084070944173,0,0,0,4,3,5,4,5,1,3,3.53414835651205,10,NA,NA,76.4084070944173,NA,NA,2.23706372597189,NA,NA,1011.81883949663,NA,NA,26,NA,NA,1,31.5307692307692,31.5307692307692,NA,NA,33.098442910157,33.098442910157,NA,NA,27.9854212721013,27.9854212721013,NA,NA,30.7,51.1,88.7559103530903,60.0782778864971,1613.95110014186,10.2402425581401,19.0592389659787,43.5939503637312,0.03116,0.933848289599893
