"","PLOT_ID_time","AGE","INVENTORY_ID","site","plot","Nr","Artcode","x","y","z","year","dbh","height","hcb","removed","reason","observation","PLOT_ID","TREE_ID","TREE_ID_time","thinned","dead"
"1","5_1_1980",132,"DEN",5,1,4,10,48.7999992370605,15.1999998092651,NA,1980,44.3,40.2,30.2,0,NA,NA,"5_1","5_1_4","5_1_4_1980",0,0
"2","5_1_1980",132,"DEN",5,1,6,10,48.7999992370605,20.2000007629395,NA,1980,56.9,37.8,28.7,0,NA,NA,"5_1","5_1_6","5_1_6_1980",0,0
"3","5_1_1980",132,"DEN",5,1,11,10,48.7999992370605,31.2999992370605,NA,1980,53.4,39.9,25.6,0,NA,NA,"5_1","5_1_11","5_1_11_1980",0,0
"4","5_1_1980",132,"DEN",5,1,13,10,48.4000015258789,36.2000007629395,NA,1980,36,35.7,27,0,NA,NA,"5_1","5_1_13","5_1_13_1980",0,0
"5","5_1_1980",132,"DEN",5,1,15,10,48.9000015258789,44.2999992370605,NA,1980,61.7,41.7,29.2,0,NA,NA,"5_1","5_1_15","5_1_15_1980",0,0
"6","5_1_1980",132,"DEN",5,1,25,10,47.2000007629395,12.1999998092651,NA,1980,48.4,37.5,24,0,NA,NA,"5_1","5_1_25","5_1_25_1980",0,0
"7","5_1_1980",132,"DEN",5,1,27,10,47.2999992370605,5.69999980926514,NA,1980,27.3,30.5,25.6,0,NA,NA,"5_1","5_1_27","5_1_27_1980",0,0
"8","5_1_1980",132,"DEN",5,1,33,10,45.7000007629395,7.69999980926514,NA,1980,30.5,30.3,24.7,0,NA,NA,"5_1","5_1_33","5_1_33_1980",0,0
"9","5_1_1980",132,"DEN",5,1,40,10,45.5999984741211,28.1000003814697,NA,1980,45.2,37.7,27.5,0,NA,NA,"5_1","5_1_40","5_1_40_1980",0,0
"10","5_1_1980",132,"DEN",5,1,43,10,45.5999984741211,37.5999984741211,NA,1980,43.3,36.5,27,0,NA,NA,"5_1","5_1_43","5_1_43_1980",0,0
"11","5_1_1980",132,"DEN",5,1,44,10,45.9000015258789,40.7000007629395,NA,1980,61.5,38.4,29,0,NA,NA,"5_1","5_1_44","5_1_44_1980",0,0
"12","5_1_1980",132,"DEN",5,1,47,10,43.7999992370605,47.5,NA,1980,57.1,38,25.5,0,NA,NA,"5_1","5_1_47","5_1_47_1980",0,0
"13","5_1_1980",132,"DEN",5,1,54,10,43.9000015258789,18.7000007629395,NA,1980,37.9,36.8,27.2,0,NA,NA,"5_1","5_1_54","5_1_54_1980",0,0
"14","5_1_1980",132,"DEN",5,1,55,10,44,16.8999996185303,NA,1980,39.9,37.5,28,0,NA,NA,"5_1","5_1_55","5_1_55_1980",0,0
"15","5_1_1980",132,"DEN",5,1,58,10,43.7999992370605,10.6000003814697,NA,1980,40.6,37.3,27.8,0,NA,NA,"5_1","5_1_58","5_1_58_1980",0,0
"16","5_1_1980",132,"DEN",5,1,61,10,42.2999992370605,2.5,NA,1980,27.4,33.8,24.1,0,NA,NA,"5_1","5_1_61","5_1_61_1980",0,0
"17","5_1_1980",132,"DEN",5,1,62,10,42.2999992370605,5.59999990463257,NA,1980,41,35.8,27.2,0,NA,NA,"5_1","5_1_62","5_1_62_1980",0,0
"18","5_1_1980",132,"DEN",5,1,67,10,42.4000015258789,21.7000007629395,NA,1980,43.6,37,26.2,0,NA,NA,"5_1","5_1_67","5_1_67_1980",0,0
"19","5_1_1980",132,"DEN",5,1,68,10,42.5,26.6000003814697,NA,1980,49.8,39.8,28,0,NA,NA,"5_1","5_1_68","5_1_68_1980",0,0
"20","5_1_1980",132,"DEN",5,1,70,10,42.7000007629395,29.7999992370605,NA,1980,48.8,39.1,28.8,0,NA,NA,"5_1","5_1_70","5_1_70_1980",0,0
"21","5_1_1980",132,"DEN",5,1,72,10,42.9000015258789,34.5,NA,1980,28.1,32.3,25.1,0,NA,NA,"5_1","5_1_72","5_1_72_1980",0,0
"22","5_1_1980",132,"DEN",5,1,74,10,42.2999992370605,39.0999984741211,NA,1980,56,37.6,24.3,0,NA,NA,"5_1","5_1_74","5_1_74_1980",0,0
"23","5_1_1980",132,"DEN",5,1,84,10,40.7000007629395,29.7000007629395,NA,1980,38.4,38.3,28,0,NA,NA,"5_1","5_1_84","5_1_84_1980",0,0
"24","5_1_1980",132,"DEN",5,1,93,10,38.9000015258789,1.20000004768372,NA,1980,41.1,38.5,29.5,0,NA,NA,"5_1","5_1_93","5_1_93_1980",0,0
"25","5_1_1980",132,"DEN",5,1,99,10,39.2000007629395,17.1000003814697,NA,1980,49,37.4,25.6,0,NA,NA,"5_1","5_1_99","5_1_99_1980",0,0
"26","5_1_1980",132,"DEN",5,1,100,10,39.0999984741211,20.2000007629395,NA,1980,49.2,38.5,29.4,0,NA,NA,"5_1","5_1_100","5_1_100_1980",0,0
"27","5_1_1980",132,"DEN",5,1,101,10,39.2999992370605,25.1000003814697,NA,1980,36,35.3,28,0,NA,NA,"5_1","5_1_101","5_1_101_1980",0,0
"28","5_1_1980",132,"DEN",5,1,102,10,39.0999984741211,36.0999984741211,NA,1980,55.4,40.2,28.2,0,NA,NA,"5_1","5_1_102","5_1_102_1980",0,0
"29","5_1_1980",132,"DEN",5,1,106,10,37.7000007629395,40.9000015258789,NA,1980,37,35.8,24,0,NA,NA,"5_1","5_1_106","5_1_106_1980",0,0
"30","5_1_1980",132,"DEN",5,1,119,10,37.7000007629395,5.90000009536743,NA,1980,60.7,43.2,28.2,0,NA,NA,"5_1","5_1_119","5_1_119_1980",0,0
"31","5_1_1980",132,"DEN",5,1,122,10,36.0999984741211,9.39999961853027,NA,1980,43.5,37.8,26.5,0,NA,NA,"5_1","5_1_122","5_1_122_1980",0,0
