"","TREE_ID_time","INVENTORY_ID","PLOT_ID","PLOT_ID_time","TREE_ID","site","plot","year","i_year","removed","thinned","dead","species","x","x_min","x_max","y","y_min","y_max","z","expan_plot","expan_subplot","age","dbh","i_dbh","i_annual_dbh","g","i_g","i_annual_g","bal_plot","height","hcb","slenderness","search_radius","rel_dbh_Do","rel_dbh_Dg","rel_h_Ho","rel_h_Hm"
"1","5_1_100_1980","DEN","5_1","5_1_1980","5_1_100",5,1,1980,0,"no","no","no","10",39.0999984741211,0,50,20.2000007629395,0,50,NA,4,19.7197220171658,132,49.2,0,0,1901.1662102464,0,0,38.8957727591638,38.5,29.4,78.2520325203252,12.705,0.673050615595075,1.07969336309826,0.901639344262295,1.01668955318475
"2","5_1_100_1985","DEN","5_1","5_1_1985","5_1_100",5,1,1985,5,"no","no","no","10",39.0999984741211,0,50,20.2000007629395,0,50,NA,4,19.7197220171658,138,51.3,2.09999999999999,0.419999999999999,2066.92449263143,165.758282385031,33.1516564770062,37.8764578899653,38.5,NA,75.0487329434698,12.705,0.676781002638523,1.09926536684775,0.897435897435897,1.00200333311489
"3","5_1_100_1991","DEN","5_1","5_1_1991","5_1_100",5,1,1991,6,"no","no","no","10",39.0999984741211,0,50,20.2000007629395,0,50,NA,4,16.8141725303061,143,52.7,1.40000000000001,0.233333333333334,2181.2784652221,114.353972590669,19.0589954317782,39.3511434727089,41.6939819523162,NA,79.1157152795374,13.7590140442643,0.670483460559797,1.11777146699436,0.912340961757466,1.04092611431328
"4","5_1_101_1980","DEN","5_1","5_1_1980","5_1_101",5,1,1980,0,"no","no","no","10",39.2999992370605,0,50,25.1000003814697,0,50,NA,4,23.4570199262847,132,36,0,0,1017.87601976309,0,0,71.039311003189,35.3,28,98.0555555555555,11.649,0.492476060191519,0.785872529574788,0.826697892271663,0.937528868360277
"5","5_1_101_1985","DEN","5_1","5_1_1985","5_1_101",5,1,1985,5,"no","no","no","10",39.2999992370605,0,50,25.1000003814697,0,50,NA,4,21.9862215239507,138,36.2,0.200000000000003,0.0400000000000006,1029.21716924255,11.3411494794593,2.26822989589186,75.0277450892952,36.4616085391282,NA,100.722675522454,12.0323308179123,0.477572559366755,0.766333674480406,0.849920944968023,0.950181615787826
"6","5_1_101_1991","DEN","5_1","5_1_1991","5_1_101",5,1,1991,6,"no","no","no","10",39.2999992370605,0,50,25.1000003814697,0,50,NA,4,20.4534546427441,143,36.7,0.5,0.0833333333333333,1057.84493229839,28.627763055837,4.7712938426395,78.3717379911851,37.8031324364572,NA,103.005810453562,12.4750337040309,0.466921119592875,0.75977439159392,0.827202022679589,0.938637468308372
"7","5_1_102_1980","DEN","5_1","5_1_1980","5_1_102",5,1,1980,0,"no","no","no","10",39.0999984741211,0,50,36.0999984741211,0,50,NA,4,18.0871500457563,132,55.4,0,0,2410.51262717291,0,0,24.5912468941677,40.2,28.2,72.5631768953069,13.266,0.757865937072503,1.18036359136878,0.941451990632319,1.07041420118343
"8","5_1_102_1985","DEN","5_1","5_1_1985","5_1_102",5,1,1985,5,"no","no","no","10",39.0999984741211,0,50,36.0999984741211,0,50,NA,4,18.0871500457563,138,56.6,1.2,0.240000000000001,2516.07014033353,105.557513160617,21.1115026321234,26.0596304420482,40.2,NA,71.0247349823322,13.266,0.746701846965699,1.180134573608,0.937062937062937,1.04360692085927
"9","5_1_102_1991","DEN","5_1","5_1_1991","5_1_102",5,1,1991,6,"no","no","no","10",39.0999984741211,0,50,36.0999984741211,0,50,NA,4,15.9713970434426,143,58.3,1.7,0.283333333333333,2669.48196358995,153.411823256424,25.568637209404,27.8037515771343,42.7798907019864,NA,73.3788862812803,14.1173639316555,0.741730279898219,1.20169126864861,0.936102641181322,1.06474186720953
"10","5_1_106_1980","DEN","5_1","5_1_1980","5_1_106",5,1,1980,0,"no","no","no","10",37.7000007629395,0,50,40.9000015258789,0,50,NA,4,22.8063714927312,132,37,0,0,1075.21008569111,0,0,69.3420655720871,35.8,24,96.7567567567567,11.814,0.506155950752394,0.779540039604033,0.838407494145199,0.964275588318685
"11","5_1_106_1985","DEN","5_1","5_1_1985","5_1_106",5,1,1985,5,"no","no","no","10",37.7000007629395,0,50,40.9000015258789,0,50,NA,4,21.5673977123078,138,37.7,0.700000000000003,0.140000000000001,1116.27855565516,41.0684699640526,8.21369399281052,72.8699139008431,36.813935771938,NA,97.6496970077931,12.1485988047395,0.497361477572559,0.777970536832024,0.858133700977576,0.958028050756676
"12","5_1_106_1991","DEN","5_1","5_1_1991","5_1_106",5,1,1991,6,"no","no","no","10",37.7000007629395,0,50,40.9000015258789,0,50,NA,4,19.9658126987102,143,38.3,0.599999999999994,0.099999999999999,1152.09271190608,35.8141562509234,5.96902604182056,76.5922173900784,38.2619964835235,NA,99.9007741084165,12.6264588395628,0.487277353689567,0.769879885731277,0.837242811455656,0.948484382437026
"13","5_1_11_1980","DEN","5_1","5_1_1980","5_1_11",5,1,1980,0,"no","no","no","10",48.7999992370605,0,50,31.2999992370605,0,50,NA,4,18.3601597728306,132,53.4,0,0,2239.60998681763,0,0,25.5554519450368,39.9,25.6,74.7191011235955,13.167,0.730506155950752,1.09891106621491,0.934426229508197,1.05499735589635
"14","5_1_11_1985","DEN","5_1","5_1_1985","5_1_11",5,1,1985,5,"no","no","no","10",48.7999992370605,0,50,31.2999992370605,0,50,NA,4,18.0871500457563,138,54.2,0.800000000000004,0.160000000000001,2307.21706072288,67.6070739052529,13.5214147810506,30.7986098626528,40.2,NA,74.169741697417,13.266,0.715039577836412,1.09327652216688,0.937062937062937,1.03586297784939
"15","5_1_11_1991","DEN","5_1","5_1_1991","5_1_11",5,1,1991,6,"no","no","no","10",48.7999992370605,0,50,31.2999992370605,0,50,NA,4,16.890230884768,143,55.7,1.5,0.25,2436.68994795895,129.472887236069,21.5788145393449,32.8370730966391,41.6,NA,74.6858168761221,13.728,0.708651399491094,1.11060162192664,0.910284463894967,1.02644035642815
"16","5_1_119_1980","DEN","5_1","5_1_1980","5_1_119",5,1,1980,0,"no","no","no","10",37.7000007629395,0,50,5.90000009536743,0,50,NA,4,15.6622717120756,132,60.7,0,0,2893.79167905626,0,0,12.9938062860286,43.2,28.2,71.169686985173,14.256,0.830369357045144,1.39410410092666,1.01170960187354,1.16590909090909
